Date, Open, High, Low, Close
7/19/2021,2159.71,2159.71,2107.07,2130.68
7/16/2021,2191.87,2210.51,2160.53,2163.24
7/15/2021,2201.27,2202.75,2166.33,2190.29
7/14/2021,2240.25,2254.8,2201.23,2202.36
7/13/2021,2280.49,2280.49,2238.37,2238.86
7/12/2021,2279.63,2283.46,2262.26,2281.82
7/9/2021,2234.83,2280.01,2234.83,2280.01
7/8/2021,2249.94,2252.72,2192.98,2231.68
7/7/2021,2274.53,2278.1,2235.5,2252.85
7/6/2021,2305.96,2306.91,2256.97,2274.5
7/5/2021,2306.75,2313.08,2301.74,2310.28
7/2/2021,2328.53,2332.95,2302.94,2305.76
7/1/2021,2312.57,2332.28,2312.57,2329.36
6/30/2021,2307.95,2317.3,2295.43,2310.55
6/29/2021,2323.07,2332.28,2305.92,2308.84
6/28/2021,2335.34,2342.19,2307.22,2322.34
6/25/2021,2336.86,2350.22,2334.4,2334.4
6/24/2021,2305.41,2333.66,2305.41,2333.62
6/23/2021,2296.4,2314.3,2296.4,2303.47
6/22/2021,2285.46,2298.36,2266.16,2295.95
6/21/2021,2238.62,2289.76,2238.62,2286.09
6/18/2021,2284.96,2284.96,2229.58,2237.74
6/17/2021,2314.2,2316.6,2264.12,2287.46
6/16/2021,2319.09,2321.91,2296.21,2314.69
6/15/2021,2326.76,2327.87,2301.78,2320.07
6/14/2021,2337.45,2348.64,2320.17,2326.14
6/11/2021,2312.6,2335.81,2312.6,2335.81
6/10/2021,2327.98,2337.76,2305.71,2311.41
6/9/2021,2344.82,2350.7,2325.56,2327.13
6/8/2021,2319.57,2348.35,2316.17,2343.76
6/7/2021,2286.93,2321.64,2286.93,2319.18
6/4/2021,2281.07,2293.68,2277.44,2286.41
6/3/2021,2296.57,2296.57,2257,2279.25
6/2/2021,2295.66,2302.22,2285.05,2297.83
6/1/2021,2270.38,2298.72,2270.38,2294.74
5/31/2021,2271.73,2276.13,2257.73,2259.43
5/28/2021,2273.82,2285.07,2264.92,2268.97
5/27/2021,2250.73,2277.61,2250.73,2273.07
5/26/2021,2207.35,2250.61,2207.35,2249.27
5/25/2021,2229.24,2247.81,2205.73,2205.75
5/24/2021,2223.05,2237.13,2218.15,2227.34
5/21/2021,2210.21,2236.84,2210.21,2215.27
5/20/2021,2194.69,2210.92,2184.41,2207.76
5/19/2021,2205.77,2205.77,2159.14,2193.64
5/18/2021,2227.92,2244.43,2210.43,2210.88
5/17/2021,2222.86,2227.46,2197.1,2227.12
5/14/2021,2171.14,2226.39,2171.14,2224.63
5/13/2021,2135.23,2185.24,2133.97,2170.95
5/12/2021,2205.02,2205.02,2132.25,2135.14
5/11/2021,2206.48,2215.69,2157.14,2206.99
5/10/2021,2271.09,2271.24,2212.59,2212.7
5/7/2021,2242.1,2271.81,2240.41,2271.63
5/6/2021,2240.21,2242.03,2205.59,2241.42
5/5/2021,2250.13,2260,2232.86,2241.37
5/4/2021,2275.1,2275.1,2225.7,2248.29
5/3/2021,2268.62,2288.57,2267.78,2277.45
4/30/2021,2292.49,2292.49,2259.3,2266.45
4/29/2021,2307.07,2322.91,2278.42,2295.46
4/28/2021,2301.1,2309.82,2291.28,2304.16
4/27/2021,2298.83,2309.8,2294.41,2301.27
4/26/2021,2275.34,2302.38,2275.34,2298.01
4/23/2021,2233.72,2281.22,2233.72,2271.86
4/22/2021,2240.87,2268.53,2227.49,2232.61
4/21/2021,2187.49,2240.46,2175.43,2239.63
4/20/2021,2231.13,2231.13,2171.68,2188.21
4/19/2021,2261.11,2261.11,2219.05,2232
4/16/2021,2258.29,2273.15,2251.73,2262.67
4/15/2021,2249.42,2264.16,2240.75,2257.07
4/14/2021,2230.16,2272.85,2230.16,2247.72
4/13/2021,2233.99,2237.38,2208.2,2228.92
4/12/2021,2244.33,2244.33,2222.21,2233.78
