Date,Open,High,Low,Close,Range,bodyRange,bodyColor
07/19/21,2159.71,2159.71,2107.07,2130.68,52.64,-29.03,RED
07/16/21,2191.87,2210.51,2160.53,2163.24,49.98,-28.63,RED
07/15/21,2201.27,2202.75,2166.33,2190.29,36.42,-10.98,RED
07/14/21,2240.25,2254.80,2201.23,2202.36,53.57,-37.89,RED
07/13/21,2280.49,2280.49,2238.37,2238.86,42.12,-41.63,RED
07/12/2021,2279.63,2283.46,2262.26,2281.82,21.20,2.19,GREEN
07/09/2021,2234.83,2280.01,2234.83,2280.01,45.18,45.18,GREEN
07/08/2021,2249.94,2252.72,2192.98,2231.68,59.74,-18.26,RED
07/07/2021,2274.53,2278.10,2235.50,2252.85,42.60,-21.68,RED
07/06/2021,2305.96,2306.91,2256.97,2274.50,49.94,-31.46,RED
07/02/2021,2328.53,2332.95,2302.94,2305.76,30.01,-22.77,RED
07/01/2021,2312.57,2332.28,2312.57,2329.36,19.71,16.79,GREEN
06/30/21,2307.95,2317.30,2295.43,2310.55,21.87,2.60,GREEN
06/29/21,2323.07,2332.28,2305.92,2308.84,26.36,-14.23,RED
06/28/21,2335.34,2342.19,2307.22,2322.34,34.97,-13.00,RED
06/25/21,2336.86,2350.22,2334.40,2334.40,15.82,-2.46,RED
06/24/21,2305.41,2333.66,2305.41,2333.62,28.25,28.21,GREEN
06/23/21,2296.40,2314.30,2296.40,2303.47,17.90,7.07,GREEN
06/22/21,2285.46,2298.36,2266.16,2295.95,32.20,10.49,GREEN
06/21/21,2238.62,2289.76,2238.62,2286.09,51.14,47.47,GREEN
06/18/21,2284.96,2284.96,2229.58,2237.74,55.38,-47.22,RED
06/17/21,2314.20,2316.60,2264.12,2287.46,52.48,-26.74,RED
06/16/21,2319.09,2321.91,2296.21,2314.69,25.70,-4.40,RED
06/15/21,2326.76,2327.87,2301.78,2320.07,26.09,-6.69,RED
06/14/21,2337.45,2348.64,2320.17,2326.14,28.47,-11.31,RED
06/11/2021,2312.60,2335.81,2312.60,2335.81,23.21,23.21,GREEN
06/10/2021,2327.98,2337.76,2305.71,2311.41,32.05,-16.57,RED
06/09/2021,2344.82,2350.70,2325.56,2327.13,25.14,-17.69,RED
06/08/2021,2319.57,2348.35,2316.17,2343.76,32.18,24.19,GREEN
06/07/2021,2286.93,2321.64,2286.93,2319.18,34.71,32.25,GREEN
06/04/2021,2281.07,2293.68,2277.44,2286.41,16.24,5.34,GREEN
06/03/2021,2296.57,2296.57,2257.00,2279.25,39.57,-17.32,RED
06/02/2021,2295.66,2302.22,2285.05,2297.83,17.17,2.17,GREEN
06/01/2021,2270.38,2298.72,2270.38,2294.74,28.34,24.36,GREEN
05/28/21,2273.82,2285.07,2264.92,2268.97,20.15,-4.85,RED
05/27/21,2250.73,2277.61,2250.73,2273.07,26.88,22.34,GREEN
05/26/21,2207.35,2250.61,2207.35,2249.27,43.26,41.92,GREEN
05/25/21,2229.24,2247.81,2205.73,2205.75,42.08,-23.49,RED
05/24/21,2223.05,2237.13,2218.15,2227.34,18.98,4.29,GREEN
05/21/21,2210.21,2236.84,2210.21,2215.27,26.63,5.06,GREEN
05/20/21,2194.69,2210.92,2184.41,2207.76,26.51,13.07,GREEN
05/19/21,2205.77,2205.77,2159.14,2193.64,46.63,-12.13,RED
05/18/21,2227.92,2244.43,2210.43,2210.88,34.00,-17.04,RED
05/17/21,2222.86,2227.46,2197.10,2227.12,30.36,4.26,GREEN
05/14/21,2171.14,2226.39,2171.14,2224.63,55.25,53.49,GREEN
05/13/21,2135.23,2185.24,2133.97,2170.95,51.27,35.72,GREEN
05/12/2021,2205.02,2205.02,2132.25,2135.14,72.77,-69.88,RED
