Date,Open,High,Low,Close,Range,BodyRange,BodyColor
12/30/2020,3736.19,3744.63,3730.21,3732.04,14.42,4.15,RED
12/29/2020,3750.01,3756.12,3723.31,3727.04,32.81,22.97,RED
12/28/2020,3723.03,3740.51,3723.03,3735.36,17.48,12.33,GREEN
12/24/2020,3694.03,3703.82,3689.32,3703.06,14.5,9.03,GREEN
12/23/2020,3693.42,3711.24,3689.28,3690.01,21.96,3.41,RED
12/22/2020,3698.08,3698.26,3676.16,3687.26,22.1,10.82,RED
12/21/2020,3684.28,3702.9,3636.48,3694.92,66.42,10.64,GREEN
12/18/2020,3722.39,3726.7,3685.84,3709.41,40.86,12.98,RED
12/17/2020,3713.65,3725.12,3710.87,3722.48,14.25,8.83,GREEN
12/16/2020,3696.25,3711.27,3688.57,3701.17,22.7,4.92,GREEN
12/15/2020,3666.41,3695.29,3659.62,3694.62,35.67,28.21,GREEN
12/14/2020,3675.27,3697.61,3645.84,3647.49,51.77,27.78,RED
12/11/2020,3656.08,3665.91,3633.4,3663.46,32.51,7.38,GREEN
12/10/2020,3659.13,3678.49,3645.18,3668.1,33.31,8.97,GREEN
12/09/2020,3705.98,3712.39,3660.54,3672.82,51.85,33.16,RED
12/08/2020,3683.05,3708.45,3678.83,3702.25,29.62,19.2,GREEN
12/07/2020,3694.73,3697.41,3678.88,3691.96,18.53,2.77,RED
12/04/2020,3670.94,3699.2,3670.94,3699.12,28.26,28.18,GREEN
12/03/2020,3668.28,3682.73,3657.17,3666.72,25.56,1.56,RED
12/02/2020,3653.78,3670.96,3644.84,3669.01,26.12,15.23,GREEN
12/01/2020,3645.87,3678.45,3645.87,3662.45,32.58,16.58,GREEN
11/30/2020,3634.18,3634.18,3594.39,3621.63,39.79,12.55,RED
11/27/2020,3638.55,3644.31,3629.33,3638.35,14.98,0.2,RED
11/25/2020,3635.5,3635.5,3617.76,3629.65,17.74,5.85,RED
11/24/2020,3594.52,3642.31,3594.52,3635.41,47.79,40.89,GREEN
11/23/2020,3566.82,3589.81,3552.77,3577.59,37.04,10.77,GREEN
11/20/2020,3579.31,3581.23,3556.85,3557.54,24.38,21.77,RED
11/19/2020,3559.41,3585.22,3543.84,3581.87,41.38,22.46,GREEN
11/18/2020,3612.09,3619.09,3567.33,3567.79,51.76,44.3,RED
11/17/2020,3610.31,3623.11,3588.68,3609.53,34.43,0.78,RED
11/16/2020,3600.16,3628.51,3600.16,3626.91,28.35,26.75,GREEN
11/13/2020,3552.57,3593.66,3552.57,3585.15,41.09,32.58,GREEN
11/12/2020,3562.67,3569.02,3518.58,3537.01,50.44,25.66,RED
11/11/2020,3563.22,3581.16,3557,3572.66,24.16,9.44,GREEN
11/10/2020,3543.26,3557.22,3511.91,3545.53,45.31,2.27,GREEN
11/09/2020,3583.04,3645.99,3547.48,3550.5,98.51,32.54,RED
11/06/2020,3508.34,3521.58,3484.34,3509.44,37.24,1.1,GREEN
11/05/2020,3485.74,3529.05,3485.74,3510.45,43.31,24.7,GREEN
11/04/2020,3406.46,3486.25,3405.17,3443.44,81.08,36.98,GREEN
11/03/2020,3336.25,3389.49,3336.25,3369.16,53.24,32.91,GREEN
11/02/2020,3296.2,3330.14,3279.74,3310.24,50.4,14.04,GREEN
10/30/2020,3293.59,3304.93,3233.94,3269.96,70.99,23.63,RED
10/29/2020,3277.17,3341.05,3259.82,3310.11,81.23,32.94,GREEN
10/28/2020,3342.48,3342.48,3268.89,3271.03,73.59,71.45,RED
10/27/2020,3403.15,3409.51,3388.71,3390.68,20.8,12.47,RED
10/26/2020,3441.42,3441.42,3364.86,3400.97,76.56,40.45,RED
10/23/2020,3464.9,3466.46,3440.45,3465.39,26.01,0.49,GREEN
10/22/2020,3438.5,3460.53,3415.34,3453.49,45.19,14.99,GREEN
10/21/2020,3439.91,3464.86,3433.06,3435.56,31.8,4.35,RED
10/20/2020,3439.38,3476.93,3435.65,3443.12,41.28,3.74,GREEN
10/19/2020,3493.66,3502.42,3419.93,3426.92,82.49,66.74,RED
10/16/2020,3493.5,3515.76,3480.45,3483.81,35.31,9.69,RED
10/15/2020,3453.72,3489.08,3440.89,3483.34,48.19,29.62,GREEN
10/14/2020,3515.47,3527.94,3480.55,3488.67,47.39,26.8,RED
10/13/2020,3534.01,3534.01,3500.86,3511.93,33.15,22.08,RED
10/12/2020,3500.02,3549.85,3499.61,3534.22,50.24,34.2,GREEN
10/09/2020,3459.67,3482.34,3458.07,3477.14,24.27,17.47,GREEN
10/08/2020,3434.28,3447.28,3428.15,3446.83,19.13,12.55,GREEN
10/07/2020,3384.56,3426.26,3384.56,3419.44,41.7,34.88,GREEN
10/06/2020,3408.74,3431.56,3354.54,3360.97,77.02,47.77,RED
10/05/2020,3367.27,3409.57,3367.27,3408.6,42.3,41.33,GREEN
10/02/2020,3338.94,3369.1,3323.69,3348.42,45.41,9.48,GREEN
10/01/2020,3385.87,3397.18,3361.39,3380.8,35.79,5.07,RED
9/30/2020,3341.21,3393.56,3340.47,3363,53.09,21.79,GREEN
9/29/2020,3350.92,3357.92,3327.54,3335.47,30.38,15.45,RED
9/28/2020,3333.9,3360.74,3332.91,3351.6,27.83,17.7,GREEN
9/25/2020,3236.66,3306.88,3228.44,3298.46,78.44,61.8,GREEN
9/24/2020,3226.14,3278.7,3209.45,3246.59,69.25,20.45,GREEN
9/23/2020,3320.11,3323.35,3232.57,3236.92,90.78,83.19,RED
9/22/2020,3295.75,3320.31,3270.95,3315.57,49.36,19.82,GREEN
9/21/2020,3285.57,3285.57,3229.1,3281.06,56.47,4.51,RED
9/18/2020,3357.38,3362.27,3292.4,3319.47,69.87,37.91,RED
9/17/2020,3346.86,3375.17,3328.82,3357.01,46.35,10.15,GREEN
9/16/2020,3411.23,3428.92,3384.45,3385.49,44.47,25.74,RED
9/15/2020,3407.73,3419.48,3389.25,3401.2,30.23,6.53,RED
9/14/2020,3363.56,3402.93,3363.56,3383.54,39.37,19.98,GREEN
09/11/2020,3352.7,3368.95,3310.47,3340.97,58.48,11.73,RED
09/10/2020,3412.56,3425.55,3329.25,3339.19,96.3,73.37,RED
09/09/2020,3369.82,3424.77,3366.84,3398.96,57.93,29.14,GREEN
09/08/2020,3371.88,3379.97,3329.27,3331.84,50.7,40.04,RED
09/07/2020,3435.7,3448.3,3329.1,3337.5,119.2,98.2,RED
09/04/2020,3453.6,3479.15,3349.63,3426.96,129.52,26.64,RED
09/03/2020,3564.74,3564.85,3427.41,3455.06,137.44,109.68,RED
09/02/2020,3543.76,3588.11,3535.23,3580.84,52.88,37.08,GREEN
09/01/2020,3507.44,3528.03,3494.6,3526.65,33.43,19.21,GREEN
8/31/2020,3509.73,3514.77,3493.25,3500.31,21.52,9.42,RED
8/28/2020,3494.69,3509.23,3484.32,3508.01,24.91,13.32,GREEN
8/27/2020,3485.14,3501.38,3468.35,3484.55,33.03,0.59,RED
8/26/2020,3449.97,3481.07,3444.15,3478.73,36.92,28.76,GREEN
8/25/2020,3435.95,3444.21,3425.84,3443.62,18.37,7.67,GREEN
8/24/2020,3418.09,3432.09,3413.13,3431.28,18.96,13.19,GREEN
8/21/2020,3386.01,3399.96,3379.31,3397.16,20.65,11.15,GREEN
8/20/2020,3360.48,3390.8,3354.69,3385.51,36.11,25.03,GREEN
8/19/2020,3392.51,3399.54,3369.66,3374.85,29.88,17.66,RED
